ParserFlags	Ch	Counter	T/R	Time	Flags	CAN ID	Len	Data	
1	0	1	TX	22457984		0x00000763	8	0x10 82 61 01 00 00 00 00 	
1	0	2	TX	22457987		0x00000743	8	0x30 00 00 00 00 00 00 00 	
1	0	2	TX	22457997		0x00000763	8	0x21 00 00 00 01 5d 22 00 	
1	0	3	TX	22457997		0x00000763	8	0x22 00 00 00 00 00 04 00 	
1	0	4	TX	22457999		0x00000763	8	0x23 00 00 40 00 20 00 70 	
1	0	5	TX	22458001		0x00000763	8	0x24 00 04 00 00 00 00 00 	
1	0	6	TX	22458003		0x00000763	8	0x25 08 00 00 00 00 00 00 	
1	0	7	TX	22458005		0x00000763	8	0x26 80 00 01 90 00 00 00 	
1	0	8	TX	22458010		0x00000763	8	0x27 00 00 00 00 00 00 00 	
1	0	9	TX	22458013		0x00000763	8	0x28 00 00 00 00 00 00 00 	
1	0	10	TX	22458015		0x00000763	8	0x29 00 00 00 ff 00 00 00 	
1	0	11	TX	22458017		0x00000763	8	0x2a 00 00 00 00 00 00 00 	
1	0	12	TX	22458019		0x00000763	8	0x2b 00 00 00 00 00 00 00 	
1	0	13	TX	22458020		0x00000763	8	0x2c 00 1b 0e 30 56 50 28 	
1	0	14	TX	22458021		0x00000763	8	0x2d 00 00 10 80 00 10 00 	
1	0	15	TX	22458025		0x00000763	8	0x2e 16 80 0b 40 10 8c 10 	
1	0	16	TX	22458027		0x00000763	8	0x2f 90 0f 82 e0 00 00 00 	
1	0	17	TX	22458028		0x00000763	8	0x20 00 00 00 00 00 00 00 	
1	0	18	TX	22458029		0x00000763	8	0x21 00 00 00 00 00 00 00 	
1	0	19	TX	22458030		0x00000763	8	0x22 00 00 00 00 00 ff ff 	
1	0	15	TX	22458030		0x00000797	8	0x02 10 c0 00 00 00 00 00 	
1	0	19	TX	22458034		0x0000079a	8	0x02 50 c0 00 00 00 00 00 	
1	0	16	TX	22458034		0x00000797	8	0x02 21 83 00 00 00 00 00 	
1	0	20	TX	22458049		0x0000079a	8	0x10 1a 61 83 33 4e 41 32 	
1	0	17	TX	22458051		0x00000797	8	0x30 00 00 00 00 00 00 00 	
1	0	21	TX	22458067		0x0000079a	8	0x21 41 00 41 06 04 33 4e 	
1	0	22	TX	22458095		0x0000079a	8	0x22 41 30 42 56 37 37 31 	
1	0	23	TX	22458106		0x0000079a	8	0x23 33 31 00 00 00 80 00 	
1	0	18	TX	22458106		0x00000797	8	0x02 10 81 00 00 00 00 00 	
1	0	24	TX	22458118		0x0000079a	8	0x02 50 81 00 00 00 00 00 	
1	0	19	TX	22458123		0x00000797	8	0x02 10 c0 00 00 00 00 00 	
1	0	25	TX	22458134		0x0000079a	8	0x02 50 c0 00 00 00 00 00 	
1	0	20	TX	22458141		0x00000797	8	0x02 21 f0 00 00 00 00 00 	
1	0	26	TX	22458155		0x0000079a	8	0x10 1a 61 f0 31 32 33 34 	
1	0	21	TX	22458155		0x00000797	8	0x30 00 00 00 00 00 00 00 	
1	0	27	TX	22458170		0x0000079a	8	0x21 35 01 41 06 04 56 56 	
1	0	28	TX	22458188		0x0000079a	8	0x22 4d 37 30 34 56 33 31 	
